sub	ses	block	n_targets	n_fill	n_trials	n_acc	p_acc	n_target_hit	p_target_hit	n_target_miss	p_target_miss	n_fill_corr	p_fill_corr	n_fill_fa	p_fill_fa	p_target_ba	rt_mean_target_hit	rt_med_target_hit
78.0	1.0	b2	16.0	44.0	60.0	50.0	83.333	10.0	62.5	6.0	37.5	40.0	90.909	4.0	9.091	76.705	924.2	619.0
80.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	510.5	499.0
80.0	1.0	b1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	619.875	623.5
80.0	1.0	b2	16.0	44.0	60.0	57.0	95.0	15.0	93.75	1.0	6.25	42.0	95.455	2.0	4.545	94.602	654.6	667.0
81.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	541.25	551.0
81.0	1.0	b1	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	569.267	567.0
81.0	1.0	b2	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	578.286	494.5
83.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	760.375	699.0
83.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	754.938	743.5
83.0	1.0	b2	16.0	44.0	60.0	54.0	90.0	11.0	68.75	5.0	31.25	43.0	97.727	1.0	2.273	83.239	942.0	954.0
84.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	650.562	578.0
84.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	806.071	777.0
84.0	1.0	b2	16.0	44.0	60.0	49.0	81.667	5.0	31.25	11.0	68.75	44.0	100.0	0.0	0.0	65.625	538.4	443.0
89.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	540.438	520.0
89.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	711.062	727.0
89.0	1.0	b2	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	771.417	669.0
90.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	593.875	594.5
90.0	1.0	b1	16.0	44.0	60.0	56.0	93.333	14.0	87.5	2.0	12.5	42.0	95.455	2.0	4.545	91.477	734.0	738.5
90.0	1.0	b2	16.0	44.0	60.0	56.0	93.333	13.0	81.25	3.0	18.75	43.0	97.727	1.0	2.273	89.489	971.769	785.0
93.0	1.0	b0	12.0	34.0	46.0	30.0	65.217	8.0	66.667	4.0	33.333	22.0	64.706	12.0	35.294	65.686	542.625	460.5
93.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	613.438	571.5
93.0	1.0	b2	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	731.231	713.0
94.0	1.0	b0	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	785.438	664.5
94.0	1.0	b1	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	814.231	811.0
94.0	1.0	b2	16.0	44.0	60.0	51.0	85.0	7.0	43.75	9.0	56.25	44.0	100.0	0.0	0.0	71.875	696.286	653.0
95.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	430.625	428.0
95.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	618.0	654.5
95.0	1.0	b2	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	790.615	859.0
96.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	518.812	528.5
96.0	1.0	b1	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	630.4	675.0
96.0	1.0	b2	16.0	44.0	60.0	53.0	88.333	12.0	75.0	4.0	25.0	41.0	93.182	3.0	6.818	84.091	739.167	585.0
98.0	1.0	b0	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	604.625	582.0
98.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	736.214	720.0
